Gene	Condition	Region	Group	mean_logCPM
ATP2A1	LA_AF	LA	AF	1.03082853533009
ATP2A1	LA_Control	LA	Control	1.21328364152372
ATP2A1	LV_AF	LV	AF	1.59318392334576
ATP2A1	LV_Control	LV	Control	1.84199317488116
ATP2A1	RA_AF	RA	AF	1.12816622891742
ATP2A1	RA_Control	RA	Control	1.15726979427043
ATP2A1	RV_AF	RV	AF	1.79970625006253
ATP2A1	RV_Control	RV	Control	1.69325419878489
ATP2A2	LA_AF	LA	AF	11.5929760084496
ATP2A2	LA_Control	LA	Control	11.6977762675943
ATP2A2	LV_AF	LV	AF	10.9950594291995
ATP2A2	LV_Control	LV	Control	10.7956865404689
ATP2A2	RA_AF	RA	AF	11.0802641285353
ATP2A2	RA_Control	RA	Control	11.6773025945344
ATP2A2	RV_AF	RV	AF	11.26000057276
ATP2A2	RV_Control	RV	Control	11.4345230892443
ATP2A3	LA_AF	LA	AF	3.25453588930885
ATP2A3	LA_Control	LA	Control	2.73439089382849
ATP2A3	LV_AF	LV	AF	3.28685988527635
ATP2A3	LV_Control	LV	Control	3.29063594476242
ATP2A3	RA_AF	RA	AF	2.92784726099092
ATP2A3	RA_Control	RA	Control	2.45990057927309
ATP2A3	RV_AF	RV	AF	3.31847743808234
ATP2A3	RV_Control	RV	Control	3.10631038345631
CACNA1A	LA_AF	LA	AF	1.04465303457096
CACNA1A	LA_Control	LA	Control	0.556225119228838
CACNA1A	LV_AF	LV	AF	0.963391457585534
CACNA1A	LV_Control	LV	Control	1.41649150956572
CACNA1A	RA_AF	RA	AF	1.44583524735895
CACNA1A	RA_Control	RA	Control	1.31439267768838
CACNA1A	RV_AF	RV	AF	0.927425341604578
CACNA1A	RV_Control	RV	Control	0.781427836462624
CACNA1C	LA_AF	LA	AF	5.31417316845457
CACNA1C	LA_Control	LA	Control	5.57544371479619
CACNA1C	LV_AF	LV	AF	5.53344356792726
CACNA1C	LV_Control	LV	Control	5.7336861352409
CACNA1C	RA_AF	RA	AF	5.12441698114299
CACNA1C	RA_Control	RA	Control	5.61672307380766
CACNA1C	RV_AF	RV	AF	5.78887537364321
CACNA1C	RV_Control	RV	Control	5.75555945513185
CACNA1G	LA_AF	LA	AF	4.69111370551461
CACNA1G	LA_Control	LA	Control	4.52887915671375
CACNA1G	LV_AF	LV	AF	2.47704985189692
CACNA1G	LV_Control	LV	Control	2.54891526015042
CACNA1G	RA_AF	RA	AF	4.05366067299472
CACNA1G	RA_Control	RA	Control	4.48912228939703
CACNA1G	RV_AF	RV	AF	2.58143742953385
CACNA1G	RV_Control	RV	Control	2.67985036940706
CACNA1H	LA_AF	LA	AF	2.69440906910251
CACNA1H	LA_Control	LA	Control	2.9279000483624
CACNA1H	LV_AF	LV	AF	3.19034337401956
CACNA1H	LV_Control	LV	Control	4.02899965224315
CACNA1H	RA_AF	RA	AF	1.9245884520774
CACNA1H	RA_Control	RA	Control	2.88285811790939
CACNA1H	RV_AF	RV	AF	3.20308279169523
CACNA1H	RV_Control	RV	Control	3.6004213507228
CACNA2D1	LA_AF	LA	AF	5.13906802658636
CACNA2D1	LA_Control	LA	Control	5.2662704929491
CACNA2D1	LV_AF	LV	AF	5.16115587533546
CACNA2D1	LV_Control	LV	Control	5.34591936275498
CACNA2D1	RA_AF	RA	AF	5.47434306212461
CACNA2D1	RA_Control	RA	Control	5.69014889710097
CACNA2D1	RV_AF	RV	AF	5.34275013087884
CACNA2D1	RV_Control	RV	Control	5.595043634885
CACNA2D2	LA_AF	LA	AF	2.52789774483966
CACNA2D2	LA_Control	LA	Control	2.12295522099696
CACNA2D2	LV_AF	LV	AF	3.08952267747156
CACNA2D2	LV_Control	LV	Control	2.65338631534694
CACNA2D2	RA_AF	RA	AF	2.12230800185735
CACNA2D2	RA_Control	RA	Control	2.07752502012484
CACNA2D2	RV_AF	RV	AF	3.222481865398
CACNA2D2	RV_Control	RV	Control	2.77019548943124
CACNA2D3	LA_AF	LA	AF	2.41816446876878
CACNA2D3	LA_Control	LA	Control	2.24109552403265
CACNA2D3	LV_AF	LV	AF	-0.585256750556088
CACNA2D3	LV_Control	LV	Control	-0.062343112233109
CACNA2D3	RA_AF	RA	AF	2.41698233311739
CACNA2D3	RA_Control	RA	Control	2.38082648608387
CACNA2D3	RV_AF	RV	AF	-1.18338747374669
CACNA2D3	RV_Control	RV	Control	0.225342194640829
CACNB1	LA_AF	LA	AF	0.690874419462266
CACNB1	LA_Control	LA	Control	0.646311870478772
CACNB1	LV_AF	LV	AF	0.437324850418865
CACNB1	LV_Control	LV	Control	0.228482275257151
CACNB1	RA_AF	RA	AF	0.772964152217516
CACNB1	RA_Control	RA	Control	0.82060406646323
CACNB1	RV_AF	RV	AF	0.365733285646261
CACNB1	RV_Control	RV	Control	0.12023781651347
CACNB2	LA_AF	LA	AF	4.9578856655213
CACNB2	LA_Control	LA	Control	5.46952930179795
CACNB2	LV_AF	LV	AF	5.31326294129492
CACNB2	LV_Control	LV	Control	5.03556916959201
CACNB2	RA_AF	RA	AF	4.86149225489061
CACNB2	RA_Control	RA	Control	5.37225435334374
CACNB2	RV_AF	RV	AF	5.20570643232692
CACNB2	RV_Control	RV	Control	5.06417048400444
CACNB3	LA_AF	LA	AF	2.0608171336817
CACNB3	LA_Control	LA	Control	1.87743184455258
CACNB3	LV_AF	LV	AF	1.94055123702184
CACNB3	LV_Control	LV	Control	1.61735959006542
CACNB3	RA_AF	RA	AF	2.16101091659891
CACNB3	RA_Control	RA	Control	1.89777709265315
CACNB3	RV_AF	RV	AF	1.71554015879794
CACNB3	RV_Control	RV	Control	1.60887920522617
CASQ1	LA_AF	LA	AF	3.78218277816322
CASQ1	LA_Control	LA	Control	4.24985029654387
CASQ1	LV_AF	LV	AF	3.00624871306654
CASQ1	LV_Control	LV	Control	2.80216856909276
CASQ1	RA_AF	RA	AF	4.26678956404267
CASQ1	RA_Control	RA	Control	3.97928700808608
CASQ1	RV_AF	RV	AF	2.92139134724801
CASQ1	RV_Control	RV	Control	2.24036566317652
CASQ2	LA_AF	LA	AF	10.0910238744655
CASQ2	LA_Control	LA	Control	10.0631165247769
CASQ2	LV_AF	LV	AF	9.99530548384614
CASQ2	LV_Control	LV	Control	10.0815856888846
CASQ2	RA_AF	RA	AF	10.1619945499527
CASQ2	RA_Control	RA	Control	10.1134224974789
CASQ2	RV_AF	RV	AF	9.98086650936686
CASQ2	RV_Control	RV	Control	9.96951362140876
GJA1	LA_AF	LA	AF	8.3289735351286
GJA1	LA_Control	LA	Control	8.498287861186
GJA1	LV_AF	LV	AF	7.86584060411885
GJA1	LV_Control	LV	Control	7.57913693321871
GJA1	RA_AF	RA	AF	8.39762362324802
GJA1	RA_Control	RA	Control	8.56767679938625
GJA1	RV_AF	RV	AF	7.83183370187948
GJA1	RV_Control	RV	Control	7.5676299103332
GJA3	LA_AF	LA	AF	4.58308410069249
GJA3	LA_Control	LA	Control	4.03642933537693
GJA3	LV_AF	LV	AF	5.10960849935509
GJA3	LV_Control	LV	Control	4.84054947634108
GJA3	RA_AF	RA	AF	4.56708324175945
GJA3	RA_Control	RA	Control	3.86987064183766
GJA3	RV_AF	RV	AF	5.31131799162438
GJA3	RV_Control	RV	Control	5.08849965606596
GJA4	LA_AF	LA	AF	3.57110764753555
GJA4	LA_Control	LA	Control	3.66506393073663
GJA4	LV_AF	LV	AF	3.95732739217541
GJA4	LV_Control	LV	Control	4.14891703839407
GJA4	RA_AF	RA	AF	3.61122368053213
GJA4	RA_Control	RA	Control	3.26294527847876
GJA4	RV_AF	RV	AF	4.01801510256602
GJA4	RV_Control	RV	Control	3.79154085731166
GJA5	LA_AF	LA	AF	6.27516809174544
GJA5	LA_Control	LA	Control	5.83293038007949
GJA5	LV_AF	LV	AF	4.67995843528345
GJA5	LV_Control	LV	Control	5.1494160692954
GJA5	RA_AF	RA	AF	6.71821276003119
GJA5	RA_Control	RA	Control	5.9071100465083
GJA5	RV_AF	RV	AF	4.75418023022769
GJA5	RV_Control	RV	Control	4.46379446640922
HCN2	LA_AF	LA	AF	3.56535960821035
HCN2	LA_Control	LA	Control	1.98356907768612
HCN2	LV_AF	LV	AF	2.77941231755165
HCN2	LV_Control	LV	Control	4.16129648510527
HCN2	RA_AF	RA	AF	3.80313800138013
HCN2	RA_Control	RA	Control	3.16269219030795
HCN2	RV_AF	RV	AF	2.51092397256218
HCN2	RV_Control	RV	Control	3.78334669711151
HCN4	LA_AF	LA	AF	5.017749239237
HCN4	LA_Control	LA	Control	4.11576745432032
HCN4	LV_AF	LV	AF	1.68448012086639
HCN4	LV_Control	LV	Control	1.94629804223091
HCN4	RA_AF	RA	AF	6.60969432484876
HCN4	RA_Control	RA	Control	6.01174033206175
HCN4	RV_AF	RV	AF	3.02105824734221
HCN4	RV_Control	RV	Control	-0.143917697907631
KCNA3	LA_AF	LA	AF	-1.58787713856014
KCNA3	LA_Control	LA	Control	-0.545809467271767
KCNA3	LV_AF	LV	AF	-1.09589098200471
KCNA3	LV_Control	LV	Control	-0.919682426629264
KCNA3	RA_AF	RA	AF	-0.85152277135233
KCNA3	RA_Control	RA	Control	-0.915114271584296
KCNA3	RV_AF	RV	AF	-1.14490435856674
KCNA3	RV_Control	RV	Control	-0.619131174469467
KCNA4	LA_AF	LA	AF	0.962254031312802
KCNA4	LA_Control	LA	Control	0.585170914497768
KCNA4	LV_AF	LV	AF	-2.22429284358038
KCNA4	LV_Control	LV	Control	-1.73376955647913
KCNA4	RA_AF	RA	AF	1.44151441645957
KCNA4	RA_Control	RA	Control	1.06772391790256
KCNA4	RV_AF	RV	AF	-1.58477279818618
KCNA4	RV_Control	RV	Control	-1.4633499679201
KCNA5	LA_AF	LA	AF	6.69174689125522
KCNA5	LA_Control	LA	Control	6.35914369218284
KCNA5	LV_AF	LV	AF	4.05690882021078
KCNA5	LV_Control	LV	Control	3.79120483609051
KCNA5	RA_AF	RA	AF	6.68036917555857
KCNA5	RA_Control	RA	Control	6.33905729493019
KCNA5	RV_AF	RV	AF	4.04310002250835
KCNA5	RV_Control	RV	Control	3.87679526786874
KCNA6	LA_AF	LA	AF	-1.03375067741291
KCNA6	LA_Control	LA	Control	-1.3093525484222
KCNA6	LV_AF	LV	AF	-0.971848186900696
KCNA6	LV_Control	LV	Control	-0.975650663347366
KCNA6	RA_AF	RA	AF	-0.658809370874083
KCNA6	RA_Control	RA	Control	-0.593950151006246
KCNA6	RV_AF	RV	AF	-1.01908289224238
KCNA6	RV_Control	RV	Control	-1.08077174738026
KCNA7	LA_AF	LA	AF	3.88292059448369
KCNA7	LA_Control	LA	Control	3.69834318981365
KCNA7	LV_AF	LV	AF	3.96519756803233
KCNA7	LV_Control	LV	Control	3.88961266895498
KCNA7	RA_AF	RA	AF	3.86765422368628
KCNA7	RA_Control	RA	Control	3.70621974418881
KCNA7	RV_AF	RV	AF	3.95683441351215
KCNA7	RV_Control	RV	Control	4.17355958483325
KCNC4	LA_AF	LA	AF	2.47449765928015
KCNC4	LA_Control	LA	Control	3.21116179953232
KCNC4	LV_AF	LV	AF	-0.237842364744899
KCNC4	LV_Control	LV	Control	0.206905189777316
KCNC4	RA_AF	RA	AF	1.73160149784474
KCNC4	RA_Control	RA	Control	1.99482467408734
KCNC4	RV_AF	RV	AF	-0.038988428028223
KCNC4	RV_Control	RV	Control	-0.0660473795162368
KCND3	LA_AF	LA	AF	4.29808602201549
KCND3	LA_Control	LA	Control	3.87266922727364
KCND3	LV_AF	LV	AF	3.66027156995906
KCND3	LV_Control	LV	Control	3.45708202186325
KCND3	RA_AF	RA	AF	3.85564309670138
KCND3	RA_Control	RA	Control	4.16583660110162
KCND3	RV_AF	RV	AF	3.87726739984675
KCND3	RV_Control	RV	Control	4.04821648942015
KCNH2	LA_AF	LA	AF	5.13272381561295
KCNH2	LA_Control	LA	Control	5.02849718094512
KCNH2	LV_AF	LV	AF	5.80684549599774
KCNH2	LV_Control	LV	Control	6.00221845078205
KCNH2	RA_AF	RA	AF	5.08935637518382
KCNH2	RA_Control	RA	Control	4.95914068649635
KCNH2	RV_AF	RV	AF	5.90386696067817
KCNH2	RV_Control	RV	Control	5.96065918553949
KCNJ11	LA_AF	LA	AF	6.53276635587995
KCNJ11	LA_Control	LA	Control	6.82561568449677
KCNJ11	LV_AF	LV	AF	6.09209389959019
KCNJ11	LV_Control	LV	Control	5.96236576769838
KCNJ11	RA_AF	RA	AF	6.82949000665321
KCNJ11	RA_Control	RA	Control	7.03187775647146
KCNJ11	RV_AF	RV	AF	6.27261337935558
KCNJ11	RV_Control	RV	Control	6.07634405580492
KCNJ12	LA_AF	LA	AF	-0.021581553453411
KCNJ12	LA_Control	LA	Control	-0.405727703253996
KCNJ12	LV_AF	LV	AF	2.92724257481769
KCNJ12	LV_Control	LV	Control	2.36449619117614
KCNJ12	RA_AF	RA	AF	-0.397131460703274
KCNJ12	RA_Control	RA	Control	-0.60777719651852
KCNJ12	RV_AF	RV	AF	2.88403311192762
KCNJ12	RV_Control	RV	Control	3.22961670887602
KCNJ15	LA_AF	LA	AF	-1.35150970025955
KCNJ15	LA_Control	LA	Control	-0.387157865723878
KCNJ15	LV_AF	LV	AF	-0.948980164990046
KCNJ15	LV_Control	LV	Control	-0.583683212344748
KCNJ15	RA_AF	RA	AF	-0.876115209755212
KCNJ15	RA_Control	RA	Control	-1.05912224537189
KCNJ15	RV_AF	RV	AF	-0.697692988180644
KCNJ15	RV_Control	RV	Control	-0.174190868165507
KCNJ2	LA_AF	LA	AF	2.56062124228914
KCNJ2	LA_Control	LA	Control	2.63183576911862
KCNJ2	LV_AF	LV	AF	7.19144545514355
KCNJ2	LV_Control	LV	Control	6.9406221327985
KCNJ2	RA_AF	RA	AF	1.21066718532748
KCNJ2	RA_Control	RA	Control	2.83842512735679
KCNJ2	RV_AF	RV	AF	7.38784527189426
KCNJ2	RV_Control	RV	Control	7.11581454006949
KCNJ3	LA_AF	LA	AF	8.41329076208274
KCNJ3	LA_Control	LA	Control	8.18322940929267
