Gene	Condition	Region	Group	mean_logCPM
KCNJ3	LV_AF	LV	AF	4.94896141654892
KCNJ3	LV_Control	LV	Control	5.10762645413814
KCNJ3	RA_AF	RA	AF	8.11384294229368
KCNJ3	RA_Control	RA	Control	8.06371653203362
KCNJ3	RV_AF	RV	AF	5.64115153727814
KCNJ3	RV_Control	RV	Control	5.48919317018648
KCNJ4	LA_AF	LA	AF	7.57710846417007
KCNJ4	LA_Control	LA	Control	8.4052705322015
KCNJ4	LV_AF	LV	AF	8.27319422649466
KCNJ4	LV_Control	LV	Control	8.56915810395627
KCNJ4	RA_AF	RA	AF	8.18567619258981
KCNJ4	RA_Control	RA	Control	8.39131353494223
KCNJ4	RV_AF	RV	AF	8.18566015752199
KCNJ4	RV_Control	RV	Control	8.17063698954515
KCNJ5	LA_AF	LA	AF	8.01628059054726
KCNJ5	LA_Control	LA	Control	7.40917310201722
KCNJ5	LV_AF	LV	AF	-1.91819840382564
KCNJ5	LV_Control	LV	Control	-2.06287136896996
KCNJ5	RA_AF	RA	AF	7.63492202402971
KCNJ5	RA_Control	RA	Control	7.51976151214971
KCNJ5	RV_AF	RV	AF	-2.38110798071758
KCNJ5	RV_Control	RV	Control	-2.08554590385623
KCNK1	LA_AF	LA	AF	-1.93228126569221
KCNK1	LA_Control	LA	Control	-1.58421872895452
KCNK1	LV_AF	LV	AF	-0.966531073718442
KCNK1	LV_Control	LV	Control	-0.872357748481958
KCNK1	RA_AF	RA	AF	-0.786409653106044
KCNK1	RA_Control	RA	Control	-1.29553101725796
KCNK1	RV_AF	RV	AF	-0.777088194112957
KCNK1	RV_Control	RV	Control	-0.536986332839489
KCNK3	LA_AF	LA	AF	7.69834909844831
KCNK3	LA_Control	LA	Control	8.2191783348404
KCNK3	LV_AF	LV	AF	1.10528084203806
KCNK3	LV_Control	LV	Control	-0.441022687645075
KCNK3	RA_AF	RA	AF	7.05184795388982
KCNK3	RA_Control	RA	Control	7.42613201191752
KCNK3	RV_AF	RV	AF	0.925322565353322
KCNK3	RV_Control	RV	Control	0.795178562809805
KCNK6	LA_AF	LA	AF	2.74754831131798
KCNK6	LA_Control	LA	Control	1.59232620973627
KCNK6	LV_AF	LV	AF	0.221866859492269
KCNK6	LV_Control	LV	Control	-0.106908180526404
KCNK6	RA_AF	RA	AF	2.10088840623542
KCNK6	RA_Control	RA	Control	1.39335588177468
KCNK6	RV_AF	RV	AF	0.177800592626237
KCNK6	RV_Control	RV	Control	-0.0389987016198635
KCNN1	LA_AF	LA	AF	2.63540628086302
KCNN1	LA_Control	LA	Control	2.80923137464526
KCNN1	LV_AF	LV	AF	2.83378165926343
KCNN1	LV_Control	LV	Control	3.76363092118087
KCNN1	RA_AF	RA	AF	3.04386750328058
KCNN1	RA_Control	RA	Control	2.81354304383788
KCNN1	RV_AF	RV	AF	2.84609897812623
KCNN1	RV_Control	RV	Control	3.79676292446807
KCNN2	LA_AF	LA	AF	2.37577647893141
KCNN2	LA_Control	LA	Control	1.34326832024682
KCNN2	LV_AF	LV	AF	-1.2942982052445
KCNN2	LV_Control	LV	Control	-1.02049941954428
KCNN2	RA_AF	RA	AF	-0.711205445019254
KCNN2	RA_Control	RA	Control	-0.535919247990368
KCNN2	RV_AF	RV	AF	-0.659997352070027
KCNN2	RV_Control	RV	Control	-0.976627229429709
KCNN3	LA_AF	LA	AF	1.04794885005472
KCNN3	LA_Control	LA	Control	0.0884221382057995
KCNN3	LV_AF	LV	AF	0.114806629072581
KCNN3	LV_Control	LV	Control	-0.241403023588259
KCNN3	RA_AF	RA	AF	-0.0121032650981518
KCNN3	RA_Control	RA	Control	0.557593900063092
KCNN3	RV_AF	RV	AF	-0.349880163694663
KCNN3	RV_Control	RV	Control	-0.365520225975397
KCNQ1	LA_AF	LA	AF	3.92626390578447
KCNQ1	LA_Control	LA	Control	3.77293021689145
KCNQ1	LV_AF	LV	AF	4.08507592258084
KCNQ1	LV_Control	LV	Control	3.91319564668893
KCNQ1	RA_AF	RA	AF	3.68911096742421
KCNQ1	RA_Control	RA	Control	3.80324716017801
KCNQ1	RV_AF	RV	AF	3.97946607766483
KCNQ1	RV_Control	RV	Control	4.19040371462497
KCNQ3	LA_AF	LA	AF	2.00452164977779
KCNQ3	LA_Control	LA	Control	1.08228687932933
KCNQ3	LV_AF	LV	AF	1.65198655251156
KCNQ3	LV_Control	LV	Control	1.48643428488785
KCNQ3	RA_AF	RA	AF	2.41365266829635
KCNQ3	RA_Control	RA	Control	0.895342467090464
KCNQ3	RV_AF	RV	AF	0.772841217904851
KCNQ3	RV_Control	RV	Control	0.146659254694446
KCNQ4	LA_AF	LA	AF	1.70306544319036
KCNQ4	LA_Control	LA	Control	1.4037288524836
KCNQ4	LV_AF	LV	AF	2.40612436753434
KCNQ4	LV_Control	LV	Control	1.86788209438097
KCNQ4	RA_AF	RA	AF	0.635945415882757
KCNQ4	RA_Control	RA	Control	1.35747505546792
KCNQ4	RV_AF	RV	AF	2.13558510728452
KCNQ4	RV_Control	RV	Control	2.02401442912535
PLN	LA_AF	LA	AF	10.1309287060796
PLN	LA_Control	LA	Control	10.3705380884114
PLN	LV_AF	LV	AF	10.6041903753807
PLN	LV_Control	LV	Control	10.3009603009668
PLN	RA_AF	RA	AF	10.3020627378377
PLN	RA_Control	RA	Control	10.5126219965736
PLN	RV_AF	RV	AF	10.6255017715394
PLN	RV_Control	RV	Control	10.5432177624151
RYR1	LA_AF	LA	AF	-0.462857640801277
RYR1	LA_Control	LA	Control	-1.25515962272711
RYR1	LV_AF	LV	AF	-1.63281261938097
RYR1	LV_Control	LV	Control	-2.09902082592558
RYR1	RA_AF	RA	AF	-0.867731427083657
RYR1	RA_Control	RA	Control	-1.41671294294608
RYR1	RV_AF	RV	AF	-1.72829279917876
RYR1	RV_Control	RV	Control	-1.57869629932184
RYR2	LA_AF	LA	AF	9.27545080681314
RYR2	LA_Control	LA	Control	9.70864755027457
RYR2	LV_AF	LV	AF	9.16874243575798
RYR2	LV_Control	LV	Control	9.37222346937289
RYR2	RA_AF	RA	AF	9.01795833660696
RYR2	RA_Control	RA	Control	9.78266541306835
RYR2	RV_AF	RV	AF	9.44502771415373
RYR2	RV_Control	RV	Control	9.98128542632637
SCN10A	LA_AF	LA	AF	0.305081497018345
SCN10A	LA_Control	LA	Control	0.863918656924851
SCN10A	LV_AF	LV	AF	-2.1648290591962
SCN10A	LV_Control	LV	Control	-1.48240815422955
SCN10A	RA_AF	RA	AF	-0.701545464337144
SCN10A	RA_Control	RA	Control	0.493103372599203
SCN10A	RV_AF	RV	AF	-1.97610158799864
SCN10A	RV_Control	RV	Control	-1.5606801757445
SCN1A	LA_AF	LA	AF	-0.199492042202602
SCN1A	LA_Control	LA	Control	1.26730373098025
SCN1A	LV_AF	LV	AF	-0.45637728494523
SCN1A	LV_Control	LV	Control	-0.0634406892330818
SCN1A	RA_AF	RA	AF	-0.450827559332566
SCN1A	RA_Control	RA	Control	1.89453397506967
SCN1A	RV_AF	RV	AF	-0.534777223002377
SCN1A	RV_Control	RV	Control	-0.679346213696358
SCN4A	LA_AF	LA	AF	0.591296035883235
SCN4A	LA_Control	LA	Control	-0.557648155896852
SCN4A	LV_AF	LV	AF	-1.75755389525699
SCN4A	LV_Control	LV	Control	-1.95873930024246
SCN4A	RA_AF	RA	AF	-0.382014727277117
SCN4A	RA_Control	RA	Control	-0.0750862091952632
SCN4A	RV_AF	RV	AF	-1.78675790794892
SCN4A	RV_Control	RV	Control	-1.07026599935972
SCN5A	LA_AF	LA	AF	6.96645366828684
SCN5A	LA_Control	LA	Control	7.20576218718853
SCN5A	LV_AF	LV	AF	5.57414317133454
SCN5A	LV_Control	LV	Control	5.70391897211578
SCN5A	RA_AF	RA	AF	6.65140576795793
SCN5A	RA_Control	RA	Control	6.93362695833638
SCN5A	RV_AF	RV	AF	5.8110658092883
SCN5A	RV_Control	RV	Control	5.73906086817311
SCN7A	LA_AF	LA	AF	1.95982963342519
SCN7A	LA_Control	LA	Control	1.74702942994956
SCN7A	LV_AF	LV	AF	2.23841586339673
SCN7A	LV_Control	LV	Control	2.0332261520139
SCN7A	RA_AF	RA	AF	2.48179649184036
SCN7A	RA_Control	RA	Control	2.42163640306323
SCN7A	RV_AF	RV	AF	2.16196972697488
SCN7A	RV_Control	RV	Control	1.82051984854133
SCN8A	LA_AF	LA	AF	2.5564541118792
SCN8A	LA_Control	LA	Control	3.3517219869437
SCN8A	LV_AF	LV	AF	2.60942551985645
SCN8A	LV_Control	LV	Control	2.82233585082141
SCN8A	RA_AF	RA	AF	2.38724604328747
SCN8A	RA_Control	RA	Control	3.67276819382657
SCN8A	RV_AF	RV	AF	2.57675649211768
SCN8A	RV_Control	RV	Control	2.96245724667329
SCN9A	LA_AF	LA	AF	-2.44356467346406
SCN9A	LA_Control	LA	Control	-1.3189546095798
SCN9A	LV_AF	LV	AF	-1.91791880026434
SCN9A	LV_Control	LV	Control	-0.41730793747602
SCN9A	RA_AF	RA	AF	-2.2412410068773
SCN9A	RA_Control	RA	Control	-1.73720817269622
SCN9A	RV_AF	RV	AF	-1.64290424333936
SCN9A	RV_Control	RV	Control	-1.06364175810708
SLC8A1	LA_AF	LA	AF	9.16637494775584
SLC8A1	LA_Control	LA	Control	9.31876625866212
SLC8A1	LV_AF	LV	AF	9.23304311243984
SLC8A1	LV_Control	LV	Control	9.33615889699708
SLC8A1	RA_AF	RA	AF	9.25471569495149
SLC8A1	RA_Control	RA	Control	9.48185739638011
SLC8A1	RV_AF	RV	AF	9.44308078190395
SLC8A1	RV_Control	RV	Control	9.62011830781309
SLC8A3	LA_AF	LA	AF	3.47575234697803
SLC8A3	LA_Control	LA	Control	2.8035729115994
SLC8A3	LV_AF	LV	AF	1.51422161363575
SLC8A3	LV_Control	LV	Control	2.51537372473474
SLC8A3	RA_AF	RA	AF	3.32800642569661
SLC8A3	RA_Control	RA	Control	3.26509687680665
SLC8A3	RV_AF	RV	AF	1.41985489844214
SLC8A3	RV_Control	RV	Control	0.0271239931545568
TRPC1	LA_AF	LA	AF	1.96845776495706
TRPC1	LA_Control	LA	Control	2.27693744437969
TRPC1	LV_AF	LV	AF	1.88736787354108
TRPC1	LV_Control	LV	Control	1.89458912617284
TRPC1	RA_AF	RA	AF	1.72999623710482
TRPC1	RA_Control	RA	Control	2.23466006360185
TRPC1	RV_AF	RV	AF	1.65394203787945
TRPC1	RV_Control	RV	Control	2.0685106846331
TRPC4	LA_AF	LA	AF	-1.71804047275643
TRPC4	LA_Control	LA	Control	-1.74341092187377
TRPC4	LV_AF	LV	AF	-2.23196551539483
TRPC4	LV_Control	LV	Control	-1.82769562129162
TRPC4	RA_AF	RA	AF	-0.419590098451766
TRPC4	RA_Control	RA	Control	-0.99944532348291
TRPC4	RV_AF	RV	AF	-1.97149960059214
TRPC4	RV_Control	RV	Control	-1.89153768077096
TRPC5	LA_AF	LA	AF	0.585303866084445
TRPC5	LA_Control	LA	Control	0.0429947069758396
TRPC5	LV_AF	LV	AF	-0.991325926161589
TRPC5	LV_Control	LV	Control	-2.10315871202963
TRPC5	RA_AF	RA	AF	1.25647172688999
TRPC5	RA_Control	RA	Control	0.904523309726159
TRPC5	RV_AF	RV	AF	-0.695879264388687
TRPC5	RV_Control	RV	Control	-0.00190959742828464
TRPC6	LA_AF	LA	AF	-1.71692970798534
TRPC6	LA_Control	LA	Control	0.0440941052099013
TRPC6	LV_AF	LV	AF	-0.504992651376772
TRPC6	LV_Control	LV	Control	-0.330582948076124
TRPC6	RA_AF	RA	AF	-1.29855769546798
TRPC6	RA_Control	RA	Control	0.299892861623377
TRPC6	RV_AF	RV	AF	-1.27965598228061
TRPC6	RV_Control	RV	Control	-0.172029754144836
TRPM2	LA_AF	LA	AF	-0.803903454588569
TRPM2	LA_Control	LA	Control	-0.118553206742523
TRPM2	LV_AF	LV	AF	-0.0569530337459238
TRPM2	LV_Control	LV	Control	0.0327602056697511
TRPM2	RA_AF	RA	AF	-0.254565310199931
TRPM2	RA_Control	RA	Control	0.146971238392773
TRPM2	RV_AF	RV	AF	-0.296569764998976
TRPM2	RV_Control	RV	Control	0.258869727793768
TRPM4	LA_AF	LA	AF	3.56086061472777
TRPM4	LA_Control	LA	Control	3.56051475613281
TRPM4	LV_AF	LV	AF	3.50465790240293
TRPM4	LV_Control	LV	Control	3.30110282082063
TRPM4	RA_AF	RA	AF	3.56790884713654
TRPM4	RA_Control	RA	Control	3.62372258650614
TRPM4	RV_AF	RV	AF	3.1691382771618
TRPM4	RV_Control	RV	Control	2.92064088851878
TRPM6	LA_AF	LA	AF	-1.30163679610788
TRPM6	LA_Control	LA	Control	-0.633541666644975
TRPM6	LV_AF	LV	AF	-1.53554935670307
TRPM6	LV_Control	LV	Control	-0.705875828184306
TRPM6	RA_AF	RA	AF	-0.3612019552171
TRPM6	RA_Control	RA	Control	-0.0117180647029968
TRPM6	RV_AF	RV	AF	-1.39683021749916
TRPM6	RV_Control	RV	Control	-0.79169386782379
TRPM7	LA_AF	LA	AF	4.89971849552568
TRPM7	LA_Control	LA	Control	5.27730272314039
TRPM7	LV_AF	LV	AF	5.34005798920782
TRPM7	LV_Control	LV	Control	5.4525937469688
TRPM7	RA_AF	RA	AF	5.10780379520833
TRPM7	RA_Control	RA	Control	5.40660238073286
TRPM7	RV_AF	RV	AF	5.28735796196907
TRPM7	RV_Control	RV	Control	5.64780649984032
TRPV1	LA_AF	LA	AF	-1.49894154260345
TRPV1	LA_Control	LA	Control	-1.1137336913986
TRPV1	LV_AF	LV	AF	-0.623029074957652
TRPV1	LV_Control	LV	Control	-0.526037653908267
TRPV1	RA_AF	RA	AF	-1.24267270767001
TRPV1	RA_Control	RA	Control	-1.20367390481505
TRPV1	RV_AF	RV	AF	-0.808218713562622
TRPV1	RV_Control	RV	Control	-0.557907616801246
TRPV2	LA_AF	LA	AF	2.5879887372885
TRPV2	LA_Control	LA	Control	3.1183302568542
TRPV2	LV_AF	LV	AF	3.52509462965717
TRPV2	LV_Control	LV	Control	3.34251794176657
TRPV2	RA_AF	RA	AF	2.85992993695861
TRPV2	RA_Control	RA	Control	3.16814927672406
TRPV2	RV_AF	RV	AF	3.34096066661736
TRPV2	RV_Control	RV	Control	3.11670100129026
